striker,NCBPI,n_balls,confidence,CWBPI,CWBPI_normalized
JC Buttler,1.4276801114534958,2912,0.5380635624538064,1.2142001700944656,1.0
N Pooran,1.6133979011088353,1533,0.3801140590131416,1.2117991119262368,0.9980225186691895
AD Russell,1.548243916701756,1745,0.4110718492343934,1.2050724312469332,0.99248250900276
SA Yadav,1.3828346078876477,3173,0.5593160585228274,1.1989390175967167,0.987431106605296
AB de Villiers,1.307225152082375,4039,0.617678544119896,1.1765911034193883,0.9690256453578397
KL Rahul,1.2964560503872051,4189,0.6262520556136941,1.1727763837749543,0.9658838902021497
YBK Jaiswal,1.5100911125601997,1454,0.3677288821446636,1.1657863716897314,0.960127004099359
Shubman Gill,1.3281663285305458,3040,0.5487364620938628,1.1645257174605643,0.9590887451201423
H Klaasen,1.686177124646983,917,0.2683640620427275,1.1589321800702228,0.9544819780251366
Abhishek Sharma,1.5673470288212004,1178,0.3202827623708537,1.158287557354552,0.95395107485814
GJ Maxwell,1.394140286083161,2022,0.4471472799646174,1.1571867524234452,0.9530444657518169
CH Gayle,1.283225422150544,3783,0.6021009072099316,1.1568181773029087,0.9527409119148019
RR Pant,1.3355645244605736,2662,0.5156915924060441,1.1563579233073835,0.952361852508568
SV Samson,1.285882236874602,3621,0.59157000490116,1.1550443417287375,0.9512800032295122
F du Plessis,1.254684578783155,3819,0.6043677797119797,1.1402891663825825,0.9391278262577308
DA Warner,1.2214857235766283,5205,0.6755353666450357,1.138439977574954,0.9376048575964067
SP Narine,1.5107780712216785,1152,0.3154435925520263,1.13753098960735,0.9368562265304652
B Sai Sudharsan,1.47189963994523,1278,0.3382742191635786,1.1368275743379228,0.9362769025551009
V Kohli,1.1955649846120315,7060,0.7384937238493724,1.1354116765020512,0.9351107868925067
HH Pandya,1.3345206677297778,2081,0.4542676271556429,1.133155281716729,0.933252448505726
PD Salt,1.805057166095945,623,0.1994876721101505,1.1330123120321618,0.9331347004703621
P Simran Singh,1.5730547354121698,922,0.2694330800701344,1.1292236417442103,0.9300143992372822
V Sehwag,1.3304557778230994,1997,0.4440738269957749,1.1275888424085831,0.9286679990506475
TM Head,1.6941680476356489,706,0.2202121023081721,1.1259917272705664,0.927352635095549
RD Gaikwad,1.329166379856206,1901,0.4319472847080209,1.1226067084992764,0.9245647761784919
MS Dhoni,1.2053621201325135,4511,0.6434174868064471,1.1198452945252368,0.922290510334974
KA Pollard,1.26658807700806,2555,0.5054401582591493,1.1177011617713672,0.9205246295463864
Ishan Kishan,1.2674530072803032,2344,0.4838976052848885,1.111634328047832,0.9155280615397593
DA Miller,1.2648341430900605,2380,0.4877049180327868,1.1115065771625023,0.9154228475161772
RG Sharma,1.170899165624401,6070,0.7082847141190198,1.110992388720978,0.9149993683780674
YK Pathan,1.2524623373273474,2559,0.505831191935165,1.1106736424628088,0.914736852965848
N Rana,1.261847591660099,2310,0.4802494802494803,1.107840909092203,0.9124038493636616
MP Stoinis,1.3357958441135491,1530,0.379652605459057,1.1061078107921585,0.9109764913853559
KD Karthik,1.1899786689871517,4028,0.6170343137254902,1.1040258754103731,0.909261835570719
S Dube,1.3417687672492484,1428,0.3635437881873727,1.1023148257715365,0.9078526365926762
SR Watson,1.2139675265448708,3026,0.5475931958016649,1.1015766506195164,0.9072446848148712
PP Shaw,1.3301292354192544,1451,0.3672487977727157,1.0994341575783362,0.9054801544730466
MA Agarwal,1.2450338799550116,2294,0.4785148101793909,1.0992813009210396,0.9053542636512024
SO Hetmyer,1.4000704230227796,1086,0.3028443948689347,1.0971342206919703,0.9035859553590843
RA Tripathi,1.2838871015341158,1761,0.4132832668387702,1.097106787561663,0.9035633617777432
SK Raina,1.164471977027195,4703,0.6529223934471748,1.0954267033121707,0.9021796655051908
JM Bairstow,1.3473666433666809,1258,0.3347525279403938,1.0933565921644364,0.9004747479811113
Tilak Varma,1.3804122036487307,1089,0.3034271384786848,1.091422604004496,0.8988819396389829
TH David,1.6760964077357443,524,0.1732804232804232,1.08866446880033,0.896610374149125
RM Patidar,1.483194431585582,770,0.2354740061162079,1.0874331952047602,0.8955963126904827
SS Iyer,1.1881984560343446,3010,0.5462794918330308,1.087173173985852,0.8953821624825412
Q de Kock,1.1985337001320346,2709,0.5200614321366865,1.0867104299589845,0.8950010523177885
MR Marsh,1.4068346879206848,933,0.2717739586367608,1.0854714826183125,0.8939806708591238
AC Gilchrist,1.238229776956708,1910,0.4331065759637188,1.0836430181374104,0.8924747704928275
AK Markram,1.3393535402112082,1093,0.3042026161981631,1.079254176301007,0.8888601755154097
T Stubbs,1.7093945649765006,442,0.150237933378654,1.0772940971170228,0.8872458789337911
DR Smith,1.2205036302538268,1937,0.4365562316880775,1.0768452485463895,0.8868762128921546
R Parag,1.2961895885256824,1267,0.3363419166445447,1.0767504764164342,0.8867981597570211
RK Singh,1.4201040412908632,802,0.2428831011508176,1.0759449658128226,0.8861347513475586
RA Jadeja,1.1693055266367258,2938,0.5402721588819419,1.075628259149939,0.8858739157203829
JM Sharma,1.4890080387614424,656,0.2078580481622306,1.074346042276988,0.8848178980187452
DP Conway,1.399699643662594,794,0.2410443230115361,1.0701907568508706,0.8813956571654977
AR Patel,1.2418340509803274,1517,0.3776450087129698,1.0698802816369988,0.8811399536814111
RV Uthappa,1.131473802510194,4185,0.6260284218399401,1.0694188032167284,0.8807598858543455
AT Rayudu,1.1401673250721451,3662,0.5942875689711132,1.0693183350231847,0.880677141512829
S Dhawan,1.114107710154379,5761,0.6973731993705362,1.0691467563488737,0.8805358314730704
LS Livingstone,1.4161960873703308,745,0.2295839753466872,1.069002441013733,0.8804169751768063
Shashank Singh,1.5429306513340293,510,0.1694352159468438,1.0633692585312366,0.8757775568821621
VR Iyer,1.2793617815671037,1107,0.3069032436928195,1.0618520455207794,0.8745279993151102
AM Rahane,1.1153189323573809,4346,0.6348232544551563,1.0606226871200477,0.8735155151868662
CA Lynn,1.2769736277864376,1093,0.3042026161981631,1.0602780437431796,0.8732316712331619
Dhruv Jurel,1.5650138647971503,456,0.1542625169147496,1.0580152768424114,0.8713680848521846
R Tewatia,1.3149665192874052,889,0.262319268220714,1.057200375227256,0.8706969421236411
Priyansh Arya,1.7963622866692848,310,0.1103202846975089,1.057195425219269,0.8706928653592747
M Shahrukh Khan,1.4609984019454745,564,0.1840731070496083,1.0567395348224269,0.8703173997580743
C Green,1.5321269668454875,472,0.1588156123822341,1.0555217915039496,0.8693144816655967
MM Ali,1.2898339967685724,943,0.2738890502468777,1.0543596558093034,0.8683573613132285
WP Saha,1.1407549569545414,2479,0.497891142799759,1.05277733968447,0.8670541856393935
Abdul Samad,1.4652961858448337,524,0.1732804232804232,1.0521369171234658,0.8665267416669928
SM Curran,1.3164087342225124,817,0.2463069038287609,1.051960437702279,0.8663813954337001
SE Marsh,1.1611133925876778,1931,0.4357932746558339,1.0507688551310028,0.8654000230038283
A Badoni,1.3305352940334725,740,0.228395061728395,1.0489021461677277,0.8638626249625071
DJ Hooda,1.2078955053380094,1278,0.3382742191635786,1.047521781847709,0.8627257742569836
Rashid Khan,1.5419418898912485,411,0.1411885949845414,1.0469202860680078,0.8622303898924316
ML Hayden,1.2098691257826486,1248,0.3329775880469584,1.0468952788088084,0.8622097942280467
Abishek Porel,1.4930656464181156,454,0.1536899119837508,1.0466142990766731,0.8619783828520184
KH Pandya,1.1882049969441104,1427,0.3633817163228928,1.0464515830501435,0.8618443719775866
N Wadhera,1.4319297290758246,522,0.1727332892124421,1.046099984968977,0.8615548002168288
J Fraser-McGurk,2.022321897914887,203,0.075101738808731,1.0449049875232668,0.8605706153392916
Naman Dhir,1.858800893554556,226,0.0829053558327219,1.0395949515561251,0.8561973364533823
PJ Cummins,1.4761522430710543,420,0.1438356164383561,1.0389831431809968,0.8556934587648454
KK Nair,1.1778371377488397,1314,0.3445201887781856,1.0386798203987002,0.8554436459335122
BB McCullum,1.1096447451233014,2552,0.5051464766429137,1.038333377979678,0.8551583203113
MK Pandey,1.081759261546139,3728,0.5985870263326911,1.0351068341430114,0.8525009793586831
SPD Smith,1.119606295109031,2033,0.4484888594749614,1.034636318984189,0.8521134689873199
JA Morkel,1.249355669336836,794,0.2410443230115361,1.0339511953406544,0.8515492097651512
CH Morris,1.4102310688485329,438,0.1490810074880871,1.0318339156413632,0.8498054448148248
G Gambhir,1.0723308987644655,3828,0.6049304677623262,1.030140568342137,0.8484108252612017
RR Rossouw,1.5234918398610815,321,0.1137894363700815,1.029027903790881,0.8474944487207755
Yuvraj Singh,1.0914716913177775,2540,0.503968253968254,1.0290049468146474,0.8474755416436732
KS Williamson,1.1140625073943573,1835,0.4232987312572088,1.028408659069738,0.8469844465511212
LRPL Taylor,1.1678296275947502,1082,0.3020658849804578,1.0266439120759876,0.8455310231064406
V Shankar,1.1659476338980108,1083,0.3022606754116662,1.0261144637204058,0.8450949760948999
D Padikkal,1.1189871838537062,1540,0.3811881188118812,1.0240314601815286,0.843379440559507
Ashutosh Sharma,1.5832793705060844,256,0.09288824383164,1.022919577230851,0.8424637077354941
A Raghuvanshi,1.461719931243272,326,0.1153573956121726,1.0227769050190991,0.8423462046950021
RD Rickelton,1.550862500063883,266,0.0961677512653651,1.0218280047055894,0.841564702322592
Harbhajan Singh,1.2227186845586588,700,0.21875,1.0217968484967903,0.8415390424605967
D Brevis,1.4806538682364152,305,0.1087344028520499,1.0215494708772814,0.8413353053622157
WG Jacks,1.4741116816369169,306,0.1090520313613685,1.0209996473911491,0.8408824776492287
JJ Roy,1.3136340131572708,460,0.1554054054054054,1.0196346223145314,0.8397582601517863
BA Stokes,1.200727139031507,731,0.2262457443515939,1.0187491100683068,0.8390289633949297
KP Pietersen,1.1742304432427295,847,0.2530624439796833,1.0183507682776396,0.838700894102503
AJ Finch,1.0926186153227109,1725,0.408284023668639,1.0174234195101406,0.8379371413125271
DJ Bravo,1.0986539035471314,1502,0.375312343828086,1.0154985005313493,0.8363518022340113
A Mhatre,1.9533581581180717,131,0.0497909540098821,1.0147232058959084,0.8357132793161792
R Ravindra,1.4135271312211988,298,0.1065046461758398,1.0132515800938473,0.8345012668010215
