striker,NCBPI,n_balls,confidence,CWBPI,CWBPI_normalized
AD Russell,1.3198210578968277,1745,0.4110718492343934,0.9746475185732556,1.0
AB de Villiers,1.0839481407601068,4039,0.617678544119896,0.9500470271973662,0.9747596019000787
KA Pollard,1.110630546578958,2555,0.5054401582591493,0.9242239400242817,0.9482648059035877
SA Yadav,1.0724039205312044,3173,0.5593160585228274,0.923149763821438,0.9471626882842702
MS Dhoni,1.023264647197979,4511,0.6434174868064471,0.9200168012870616,0.9439482312886145
N Pooran,1.2147214680702412,1533,0.3801140590131416,0.916553181469176,0.9403945159690947
RR Pant,1.0666333969462185,2662,0.5156915924060441,0.9053988905432662,0.928950080197855
KD Karthik,0.9982584980102374,4028,0.6170343137254902,0.8969479473496849,0.9202793115019553
HH Pandya,1.0912023114787537,2081,0.4542676271556429,0.8961106702686732,0.9194202552123161
GJ Maxwell,1.0856545355549374,2022,0.4471472799646174,0.8910845734643056,0.9142634198348196
YK Pathan,1.0387917144802252,2559,0.505831191935165,0.888033004085472,0.9111324731893077
JC Buttler,1.0094155834715042,2912,0.5380635624538064,0.8820600793389739,0.9050041810296542
DA Miller,1.019236145114777,2380,0.4877049180327868,0.8729657778046467,0.8956733189887393
CH Gayle,0.9640817408603424,3783,0.6021009072099316,0.8724195759968457,0.8951129094074369
H Klaasen,1.2236453293886072,917,0.2683640620427275,0.865195708915089,0.8877011354644514
MP Stoinis,1.0693818225719756,1530,0.379652605459057,0.8611526448755904,0.8835529034498488
V Sehwag,1.0205555512541749,1997,0.4440738269957749,0.8610941530282619,0.8834928901155777
SK Raina,0.9273751086846542,4703,0.6529223934471748,0.8601605034648667,0.8825349545074701
SV Samson,0.9470768218982354,3621,0.59157000490116,0.8599340209781109,0.8823025807698471
SO Hetmyer,1.1312626410104685,1086,0.3028443948689347,0.8541110425127928,0.8763281352863741
RG Sharma,0.8975741570781337,6070,0.7082847141190198,0.8497743411642681,0.8718786278840744
DA Warner,0.9013469710800152,5205,0.6755353666450357,0.8469567754425678,0.8689877717868622
RA Jadeja,0.9406403807158432,2938,0.5402721588819419,0.845511660326711,0.8675050664104896
KL Rahul,0.9116654511122706,4189,0.6262520556136941,0.8451573546154594,0.8671415445171898
SP Narine,1.0824731881225529,1152,0.3154435925520263,0.8437294860434521,0.8656765343008838
YBK Jaiswal,1.0292416446933474,1454,0.3677288821446636,0.8423895603686479,0.8643017545479268
SR Watson,0.9318198298264913,3026,0.5475931958016649,0.8421964848658106,0.8641036567749801
N Rana,0.9589995937338992,2310,0.4802494802494803,0.8419085305278198,0.8638082121834705
V Kohli,0.8758643325044697,7060,0.7384937238493724,0.8386917529074333,0.860507759908072
TH David,1.331211400072403,524,0.1732804232804232,0.8372505767035203,0.8590290959024195
Abhishek Sharma,1.05165111109929,1178,0.3202827623708537,0.8355453994530914,0.8572795636685252
S Dube,1.0116454605718077,1428,0.3635437881873727,0.8347557759699713,0.8564694005397298
JM Sharma,1.2125634218729586,656,0.2078580481622306,0.8332485979284434,0.8549230178600362
AR Patel,0.993692041505642,1517,0.3776450087129698,0.831894896011343,0.8535341035178728
AT Rayudu,0.8984678118627779,3662,0.5942875689711132,0.8316261112228172,0.8532583271131687
R Parag,1.0209086936436242,1267,0.3363419166445447,0.8303111986089668,0.8519092110596286
Yuvraj Singh,0.9153180952997846,2540,0.503968253968254,0.82523788340773,0.8467039290427375
Shubman Gill,0.896819459744678,3040,0.5487364620938628,0.8232169906024057,0.8446304688770742
SS Iyer,0.8969803529992826,3010,0.5462794918330308,0.8229041438913516,0.8443094844133656
