striker,NCBPI,n_balls,confidence,CWBPI,CWBPI_normalized
AB de Villiers,0.4959639499901896,4039,0.617678544119896,0.3978486766965771,1.0
MS Dhoni,0.454353897492552,4511,0.6434174868064471,0.377681434103187,0.9493092631076644
AD Russell,0.5610405740735643,1745,0.4110718492343934,0.3715783049863159,0.9339689353037699
SA Yadav,0.4709026056057466,3173,0.5593160585228274,0.3688538816315134,0.9271210468618026
CH Gayle,0.4371672052262937,3783,0.6021009072099316,0.358449409562249,0.900969214070363
RR Pant,0.4684901867689737,2662,0.5156915924060441,0.3575077450770146,0.8986023229874185
V Kohli,0.3986595698134052,7060,0.7384937238493724,0.3569948395179061,0.897313125387549
KA Pollard,0.468571572537853,2555,0.5054401582591493,0.3551996974763117,0.8928010026968318
JC Buttler,0.4531653677233386,2912,0.5380635624538064,0.3543887017218964,0.8907625498831914
DA Warner,0.4092823264941329,5205,0.6755353666450357,0.3541399886191438,0.8901374049039049
KD Karthik,0.4244372542356505,4028,0.6170343137254902,0.3535489220235511,0.8886517480946365
N Pooran,0.5365057559883236,1533,0.3801140590131416,0.3522929399550314,0.8854948139584007
SK Raina,0.4109603241292841,4703,0.6529223934471748,0.3513925457848902,0.8832316565750021
KL Rahul,0.4171799240874899,4189,0.6262520556136941,0.3507102414278721,0.881516671966574
RG Sharma,0.3919153782198001,6070,0.7082847141190198,0.3474049531741807,0.8732087688685019
SV Samson,0.4192806616253924,3621,0.59157000490116,0.3457849009400567,0.8691367376440282
HH Pandya,0.4716024917819245,2081,0.4542676271556429,0.3448458607960546,0.8667764428912615
YK Pathan,0.4460553420678372,2559,0.505831191935165,0.3438999255307643,0.8643988171237346
DA Miller,0.4470946995588276,2380,0.4877049180327868,0.3406597311185556,0.8562545285989799
GJ Maxwell,0.461823710338415,2022,0.4471472799646174,0.3388194704141567,0.851628999315638
F du Plessis,0.4000999194438305,3819,0.6043677797119797,0.3364955998203086,0.8457879076394164
Shubman Gill,0.4117407068550868,3040,0.5487364620938628,0.3339396844310479,0.839363567082391
SR Watson,0.4114957044312762,3026,0.5475931958016649,0.3336084155840723,0.8385309167146024
S Dhawan,0.372221347362974,5761,0.6973731993705362,0.3320059659928138,0.8345031300582185
AT Rayudu,0.389433257700424,3662,0.5942875689711132,0.328535977378691,0.8257812495610032
SS Iyer,0.4005711161930199,3010,0.5462794918330308,0.3274143670870292,0.8229620613687116
RA Jadeja,0.4016398813883383,2938,0.5402721588819419,0.3270231839697461,0.8219788153754582
V Sehwag,0.4326577886752229,1997,0.4440738269957749,0.3251838351996802,0.8173555782559121
H Klaasen,0.5458272059310117,917,0.2683640620427275,0.3215854991944042,0.808311094219535
MP Stoinis,0.4542643560145677,1530,0.379652605459057,0.3209326470498337,0.8066701382912879
RV Uthappa,0.3681704667626657,4185,0.6260284218399401,0.3199891557681821,0.8042986555217946
N Rana,0.4066193947574205,2310,0.4802494802494803,0.3196725373800796,0.8035028293530828
Yuvraj Singh,0.3919235012021014,2540,0.503968253968254,0.3162340865003728,0.7948602195340507
Ishan Kishan,0.3954874570222749,2344,0.4838976052848885,0.3148960987136155,0.7914971625097899
YBK Jaiswal,0.4430016484954359,1454,0.3677288821446636,0.3142282498282512,0.78981851199646
SO Hetmyer,0.4839529864352285,1086,0.3028443948689347,0.3134152387554935,0.7877749936429284
AM Rahane,0.3553936304063769,4346,0.6348232544551563,0.3130112212466631,0.7867594881693774
MK Pandey,0.3621962027705613,3728,0.5985870263326911,0.3128775765634544,0.7864235697887549
S Dube,0.4392017320234742,1428,0.3635437881873727,0.3119944440524599,0.7842037999045686
SE Marsh,0.4051128590898941,1931,0.4357932746558339,0.3115791094134793,0.7831598486152763
Q de Kock,0.3763576089496758,2709,0.5200614321366865,0.3105945220873897,0.780685070178749
RD Gaikwad,0.4026799561992089,1901,0.4319472847080209,0.309890638410188,0.7789158455503143
DR Smith,0.3976331246558311,1937,0.4365562316880775,0.3084402671550341,0.7752703106017087
B Sai Sudharsan,0.4431231292558766,1278,0.3382742191635786,0.3082703711216389,0.7748432737825697
Abhishek Sharma,0.4527676608820479,1178,0.3202827623708537,0.3076928785828151,0.7733917356158001
JP Duminy,0.3899842811774276,2039,0.4492178894029522,0.3070086037077145,0.7716717980737621
SPD Smith,0.3898158669565448,2033,0.4484888594749614,0.3068232429806302,0.7712058904612914
RA Tripathi,0.3974957302794727,1761,0.4132832668387702,0.304699386043345,0.76586753680653
Tilak Varma,0.4522534408439185,1089,0.3034271384786848,0.303939286705926,0.7639570130774321
G Gambhir,0.3459788098676093,3828,0.6049304677623262,0.303846552952236,0.7637239250740737
KS Williamson,0.3916049701500319,1835,0.4232987312572088,0.3037899015302999,0.7635815306782785
AC Gilchrist,0.3861881413148069,1910,0.4331065759637188,0.3029372908888487,0.7614384780771474
BB McCullum,0.365167129781174,2552,0.5051464766429137,0.3028979845823629,0.7613396809495254
R Parag,0.4267508294734784,1267,0.3363419166445447,0.3023698974917543,0.7600123242897184
JM Bairstow,0.4218170920200024,1258,0.3347525279403938,0.3004204376449453,0.755112320944236
AR Patel,0.4009594026333854,1517,0.3776450087129698,0.3003708032619833,0.7549875640055573
MA Agarwal,0.3665478035995369,2294,0.4785148101793909,0.3002075019536669,0.7545771031497558
WP Saha,0.3603383663438744,2479,0.497891142799759,0.2995808220676855,0.7530019316770621
SP Narine,0.4254496931378785,1152,0.3154435925520263,0.2980427572298405,0.7491359772880319
PP Shaw,0.3985770061804097,1451,0.3672487977727157,0.297815575519189,0.7485649518606311
ML Hayden,0.4144968642143726,1248,0.3329775880469584,0.2976590686894553,0.74817156905229
TH David,0.5744509580680324,524,0.1732804232804232,0.2974029116852481,0.747527713689155
BJ Hodge,0.3935090496645313,1493,0.3739043325820185,0.2969804943795859,0.746465959986291
KH Pandya,0.3962844261880288,1427,0.3633817163228928,0.2963666868038855,0.7449231433033325
DJ Bravo,0.3876379551060716,1502,0.375312343828086,0.2949940808290507,0.7414730728236922
TM Head,0.4911514427181313,706,0.2202121023081721,0.2947869686424024,0.7409524925157018
LS Livingstone,0.4793424755229113,745,0.2295839753466872,0.2944358234739939,0.7400698826467331
RK Singh,0.4661974365361828,802,0.2428831011508176,0.2944350233223985,0.7400678714509137
JM Sharma,0.4962872848892313,656,0.2078580481622306,0.2927435240164376,0.7358162566912372
PD Salt,0.5065515190873633,623,0.1994876721101505,0.2926403135766791,0.7355568353438658
DPMD Jayawardene,0.3683512974627386,1713,0.4065986233088061,0.2917920425972496,0.7334246905634111
CA Lynn,0.4109640693005436,1093,0.3042026161981631,0.2915440664219414,0.7328013978648725
SR Tendulkar,0.3441172623047249,2459,0.4958661020367009,0.2912922869360476,0.7321685454749025
P Simran Singh,0.4277019921887878,922,0.2694330800701344,0.2900863061679146,0.7291372905310718
MEK Hussey,0.3670112161956645,1648,0.3972999035679845,0.2900599294115228,0.7290709920665129
JA Morkel,0.4492723637147065,794,0.2410443230115361,0.289938178414699,0.7287649686863806
T Stubbs,0.5696840847308677,442,0.150237933378654,0.2889648090957121,0.7263183869179832
VR Iyer,0.400698248540158,1107,0.3069032436928195,0.2888569625845568,0.7260473127194945
Shashank Singh,0.5313610865506595,510,0.1694352159468438,0.2888133744350092,0.7259377531002205
AK Markram,0.4017201896075117,1093,0.3042026161981631,0.2887320540355001,0.7257333527734824
R Tewatia,0.4268860203529912,889,0.262319268220714,0.2885322440254796,0.7252311266213696
A Symonds,0.4169741485350036,952,0.2757821552723059,0.2883237231500188,0.7247070055480203
