striker,NCBPI,n_balls,confidence,CWBPI,CWBPI_normalized
AD Russell,0.5322026383555735,1745,0.4110718492343934,0.4017404117279198,1.0
SA Yadav,0.4576479513627499,3173,0.5593160585228274,0.3928805558837563,0.9779463166126193
CH Gayle,0.4418077604515328,3783,0.6021009072099316,0.3896312592141799,0.9698582662828034
V Sehwag,0.4870768741368357,1997,0.4440738269957749,0.3890119994453647,0.9683168237225398
AB de Villiers,0.4343240283484538,4039,0.617678544119896,0.3870514137259442,0.9634365934489961
N Pooran,0.5112580624245215,1533,0.3801140590131416,0.3869211637865945,0.9631123792660379
JC Buttler,0.4479078001307259,2912,0.5380635624538064,0.3845162523716219,0.957126147000708
SP Narine,0.5442011205645956,1152,0.3154435925520263,0.3843412198096819,0.956690461277215
GJ Maxwell,0.4696724186282452,2022,0.4471472799646174,0.3817717988325643,0.9502947368190598
YBK Jaiswal,0.4966561305419855,1454,0.3677288821446636,0.379067389393675,0.9435630031922201
HH Pandya,0.4546542598871241,2081,0.4542676271556429,0.3760816325430363,0.9361309481549966
KA Pollard,0.4345303062998026,2555,0.5054401582591493,0.3732778192780493,0.9291517815510507
RR Pant,0.4310222731914948,2662,0.5156915924060441,0.3727384221407018,0.9278091306212438
PP Shaw,0.4794374503219969,1451,0.3672487977727157,0.3726545644828554,0.9276003946927727
DA Warner,0.4022011331327189,5205,0.6755353666450357,0.3725050411175011,0.9272282056846737
Abhishek Sharma,0.5012249406708513,1178,0.3202827623708537,0.3717067493107142,0.925241122026962
YK Pathan,0.4310662977376798,2559,0.505831191935165,0.3715740462078013,0.9249108015039603
SV Samson,0.4120370695987695,3621,0.59157000490116,0.3706388944407268,0.9225830502004447
AC Gilchrist,0.4479737379023945,1910,0.4331065759637188,0.3701415608272375,0.9213451025134042
SK Raina,0.3994088434902905,4703,0.6529223934471748,0.3686122774940136,0.9175384570065549
KD Karthik,0.4029832885674084,4028,0.6170343137254902,0.3676334451905737,0.9151019774419777
SR Watson,0.413856120891077,3026,0.5475931958016649,0.36717753631396,0.9139671429485973
MS Dhoni,0.3920411981029803,4511,0.6434174868064471,0.3630284251172569,0.9036393016969357
PD Salt,0.5653494475368617,623,0.1994876721101505,0.3614816361415334,0.8997890816778178
RG Sharma,0.3815395304945883,6070,0.7082847141190198,0.3608680739739434,0.8982618214130338
F du Plessis,0.3929610121940214,3819,0.6043677797119797,0.3604071133760899,0.8971144123289667
KL Rahul,0.3893607420214636,4189,0.6262520556136941,0.3599531457889752,0.8959844100342955
TM Head,0.5283614019995825,706,0.2202121023081721,0.3586143461217246,0.8926519106686173
Shubman Gill,0.3972925962420441,3040,0.5487364620938628,0.3582064867202813,0.8916366794657392
H Klaasen,0.4876603386288596,917,0.2683640620427275,0.3581735365458613,0.8915546608948957
JM Bairstow,0.4524467916105075,1258,0.3347525279403938,0.3581353133849289,0.8914595169665863
MA Agarwal,0.4097722295201947,2294,0.4785148101793909,0.3580959404200815,0.891361510981383
RA Tripathi,0.4241588294871919,1761,0.4132832668387702,0.3575775974141021,0.8900712673542857
N Rana,0.4081578044696983,2310,0.4802494802494803,0.3574925098086376,0.8898594698776551
P Simran Singh,0.4841071303120189,922,0.2694330800701344,0.3574053822332629,0.8896425945700405
DR Smith,0.4162703586805967,1937,0.4365562316880775,0.3567748768579806,0.8880731597885844
V Kohli,0.3726930640737548,7060,0.7384937238493724,0.3564756774283737,0.8873284016789384
MP Stoinis,0.4312074191073532,1530,0.379652605459057,0.3564371699972195,0.8872325501538489
Ishan Kishan,0.4039363900447528,2344,0.4838976052848885,0.3558053968041793,0.8856599595590344
S Dhawan,0.3752046375207523,5761,0.6973731993705362,0.3556770803306619,0.8853405581003525
Q de Kock,0.3949738811744547,2709,0.5200614321366865,0.3545169299205494,0.882452747025727
RV Uthappa,0.3790171090878165,4185,0.6260284218399401,0.3534601414191557,0.8798222212669456
SO Hetmyer,0.44823994968906,1086,0.3028443948689347,0.3523377103226054,0.8770282999590976
CA Lynn,0.4453284957471976,1093,0.3042026161981631,0.3516388782928559,0.8752887885498675
BB McCullum,0.3914064333802846,2552,0.5051464766429137,0.3514575736027376,0.8748374904358976
WP Saha,0.3895893401545215,2479,0.497891142799759,0.3499671456311715,0.8711275625121528
DA Miller,0.3911525983156849,2380,0.4877049180327868,0.3499257434110397,0.8710245053664859
JM Sharma,0.4980859691089234,656,0.2078580481622306,0.3496320784505696,0.8702935234888922
TH David,0.5217338673478428,524,0.1732804232804232,0.3472496661193167,0.8643632952576671
B Sai Sudharsan,0.4174467458810792,1278,0.3382742191635786,0.3467949669376822,0.8632314719001941
S Dube,0.4094266286322647,1428,0.3635437881873727,0.3465773089463895,0.8626896842558878
LS Livingstone,0.465542954062529,745,0.2295839753466872,0.346232340410209,0.8618309990798142
ML Hayden,0.4154800745937501,1248,0.3329775880469584,0.345574593635951,0.86019375583752
SS Iyer,0.3729813937176021,3010,0.5462794918330308,0.3447129653256854,0.8580490168839264
AT Rayudu,0.3674110213388569,3662,0.5942875689711132,0.3443936390778056,0.857254159711091
SE Marsh,0.3878921351461407,1931,0.4357932746558339,0.3443272752926521,0.8570889689978439
RA Jadeja,0.3717637409034975,2938,0.5402721588819419,0.3436808228446156,0.8554798392484715
MM Ali,0.4306717789897344,943,0.2738890502468777,0.34354282063371,0.8551363283472107
RD Gaikwad,0.3866177677810507,1901,0.4319472847080209,0.343479850126408,0.8549795840778673
AM Rahane,0.3616920300856244,4346,0.6348232544551563,0.3430628113652743,0.8539415038923563
Yuvraj Singh,0.3740268752626791,2540,0.503968253968254,0.3426037117106645,0.8527987270115464
PA Patel,0.3726212032198203,2606,0.5103799451625538,0.3422924597425374,0.852023968090012
Priyansh Arya,0.5958364654099384,310,0.1103202846975089,0.3421365651713968,0.851635920070471
KK Nair,0.40142378724984,1314,0.3445201887781856,0.3419416099372926,0.8511506434380663
AR Patel,0.392766076819721,1517,0.3776450087129698,0.3416780140378543,0.8504945085515992
RM Patidar,0.4416379143462057,770,0.2354740061162079,0.3415154855966735,0.8500899477047535
Tilak Varma,0.4122604513421041,1089,0.3034271384786848,0.3415007175720522,0.850053187587548
KH Pandya,0.3950587809432065,1427,0.3633817163228928,0.3413402913828621,0.8496538596023446
R Parag,0.4003044976901663,1267,0.3363419166445447,0.3408230003790775,0.8483662345870774
MR Marsh,0.4199676341007796,933,0.2717739586367608,0.3403799144976904,0.8472633187029588
VR Iyer,0.406931332959589,1107,0.3069032436928195,0.3402183059164982,0.8468610475435873
Abdul Samad,0.4801124648504571,524,0.1732804232804232,0.3400374918770448,0.8464109707423122
JA Morkel,0.4318012019489901,794,0.2410443230115361,0.3398738913788835,0.8460037413638745
RK Singh,0.4300678042832818,802,0.2428831011508176,0.3396755974832635,0.8455101542368858
AJ Finch,0.3802275674056344,1725,0.408284023668639,0.3390738455927251,0.8440122917541194
Harbhajan Singh,0.4389604468323586,700,0.21875,0.3387396114491234,0.8431803263011939
M Shahrukh Khan,0.4605714321112849,564,0.1840731070496083,0.3382691682654402,0.8420093134532213
G Gambhir,0.3557996857184474,3828,0.6049304677623262,0.337973394561435,0.8412730825554307
Rashid Khan,0.5009710665425561,411,0.1411885949845414,0.3375450196508192,0.8402067847718113
T Stubbs,0.488596846510321,442,0.150237933378654,0.3374079707722998,0.8398656468764975
J Fraser-McGurk,0.6554538272444345,203,0.075101738808731,0.3365710583740896,0.8377824300186003
R Tewatia,0.4079275680078384,889,0.262319268220714,0.336188271411482,0.8368296083670237
Shashank Singh,0.46118577523857,510,0.1694352159468438,0.3361791326332939,0.836806860398631
CH Morris,0.4768447547460024,438,0.1490810074880871,0.3354501179146675,0.8349922191593022
SM Curran,0.4095274135882817,817,0.2463069038287609,0.3350251253410221,0.8339343405858783
Naman Dhir,0.6034246390424672,226,0.0829053558327219,0.3349480602634415,0.8337425125413729
C Green,0.4632891799333651,472,0.1588156123822341,0.3349148508691428,0.8336598487283006
Abishek Porel,0.4680390460799069,454,0.1536899119837508,0.3348626170530879,0.8335298299038805
D Padikkal,0.3734648055831808,1540,0.3811881188118812,0.3346114466466937,0.8329046241763464
PJ Cummins,0.4758994498815869,420,0.1438356164383561,0.3344425386317844,0.8324841834888318
Dhruv Jurel,0.4630108869787647,456,0.1542625169147496,0.3341770664130111,0.8318233781254094
ST Jayasuriya,0.4094707200784008,778,0.237339841366687,0.3341252788515985,0.8316944701044566
SPD Smith,0.3625565947464432,2033,0.4484888594749614,0.3339448491008302,0.8312453498628752
AK Markram,0.3859408006457519,1093,0.3042026161981631,0.3335729860730173,0.8303197197371591
DP Conway,0.4044068560688218,794,0.2410443230115361,0.3332706398218544,0.8295671286551157
DJ Hooda,0.3738460020135781,1278,0.3382742191635786,0.3320459593509521,0.826518691318093
M Vijay,0.3533954038194918,2385,0.4882292732855681,0.331533773175851,0.8252437730869442
DJ Bravo,0.36594231137242,1502,0.375312343828086,0.3314192392643476,0.8249586787619526
DPMD Jayawardene,0.3613027546191045,1713,0.4065986233088061,0.3312618235264823,0.8245668443005196
KP Pietersen,0.3909598870820917,847,0.2530624439796833,0.330994164389924,0.8239005953279379
JD Ryder,0.4264399974384588,532,0.1754617414248021,0.3309896182360832,0.8238892791802264
M Vohra,0.3877796153185924,894,0.2634060106069534,0.3309868650410624,0.8238824260110145
JJ Roy,0.4404161466136403,460,0.1554054054054054,0.3308398213840604,0.8235164094174396
Mandeep Singh,0.3650375578041961,1448,0.3667679837892604,0.3306152045478774,0.8229573000283272
RR Rossouw,0.4808148958266576,321,0.1137894363700815,0.3300375843370794,0.8215195053879683
N Wadhera,0.4206268947591128,522,0.1727332892124421,0.3296696502047653,0.8206036549492942
WG Jacks,0.476170917489747,306,0.1090520313613685,0.3287251406295106,0.818252610474599
MK Pandey,0.3407078665566306,3728,0.5985870263326911,0.3286533992257006,0.818074033956739
KS Williamson,0.352781198455186,1835,0.4232987312572088,0.3285001021960347,0.8176924516583426
STR Binny,0.3903278683635848,713,0.2219109866168689,0.3283530077801992,0.8173263087174251
A Symonds,0.3739093020390158,952,0.2757821552723059,0.3281159036488086,0.8167361163333161
V Shankar,0.3683519481054153,1083,0.3022606754116662,0.3281104112901783,0.8167224449214542
E Lewis,0.4067049334140445,552,0.1808650065530799,0.3280457297179216,0.816561441521327
