striker,n_balls_mi,mean_P_j,mean_RPB,mean_BoundaryRate,mean_DismissalRate,NCBPI,confidence,CWBPI,CWBPI_normalized
KA Pollard,233,0.7510729613733905,1.6394849785407726,0.2360515021459227,0.0686695278969957,1.4377682403433476,0.3178717598908595,1.0511120276658523,1.0
SR Watson,395,0.769620253164557,1.3949367088607596,0.2075949367088607,0.0430379746835443,1.231645569620253,0.441340782122905,1.03012862154086,0.9800369460412426
B Sai Sudharsan,129,0.686046511627907,1.697674418604651,0.2403100775193798,0.0232558139534883,1.37984496124031,0.205087440381558,0.975302251636041,0.9278765973231626
WP Saha,216,0.7384259259259259,1.3703703703703705,0.1944444444444444,0.0509259259259259,1.212962962962963,0.3016759776536313,0.9741132908925556,0.926745451724795
MS Bisla,52,1.0,1.7115384615384617,0.25,0.0192307692307692,1.9423076923076923,0.0942028985507246,0.9718570947084596,0.9245989667405958
M Vijay,279,0.7240143369175627,1.3978494623655917,0.1792114695340501,0.039426523297491,1.1218637992831542,0.3581514762516046,0.960802459921784,0.9140818815054245
SK Raina,529,0.6758034026465028,1.43289224952741,0.1776937618147448,0.0434782608695652,1.0425330812854443,0.5140913508260447,0.959149772865957,0.9125095590390009
VR Iyer,161,0.6832298136645962,1.453416149068323,0.1987577639751552,0.0186335403726708,1.1770186335403727,0.2435703479576399,0.9454842908911796,0.8995085832960787
YK Pathan,238,0.6932773109243697,1.415966386554622,0.1848739495798319,0.042016806722689,1.100840336134454,0.3224932249322493,0.9450746833049726,0.899118893543297
Shashank Singh,38,0.8947368421052632,1.736842105263158,0.2368421052631578,0.0526315789473684,1.881578947368421,0.070631970260223,0.942314342526152,0.8964927788132142
Q de Kock,105,0.7285714285714285,1.3333333333333333,0.219047619047619,0.0666666666666666,1.1571428571428573,0.1735537190082644,0.9206034979819336,0.8758376593085592
BCJ Cutting,26,0.8461538461538461,1.8076923076923077,0.3076923076923077,0.1153846153846153,1.8653846153846152,0.0494296577946768,0.9200857723936688,0.87534510896698
Shubman Gill,340,0.6602941176470588,1.3970588235294117,0.1705882352941176,0.0294117647058823,0.9897058823529412,0.4047619047619047,0.9190060908084164,0.8743179286504823
HH Pandya,204,0.696078431372549,1.4264705882352942,0.1715686274509804,0.0490196078431372,1.031862745098039,0.2897727272727273,0.9175640856236786,0.8729460433073567
